name,count
Alfred Hitchcock | nm0000033,23
nm0107788,11
Chia-Liang Liu | nm0514906,9
Alfred Hitchcock,8
George Cukor,8
William Wyler,8
Billy Wilder,8
nm0000339,8
nm0151653,8
nm0001425,8
Garry Marshall,8
Ernst Lubitsch | nm0523932,7
nm0523932,7
Charles Chaplin,7
Roger Corman | nm0000339,7
nm0001238,7
Cheh Chang | nm0151653,7
nm0210811,7
Ivan Reitman,7
nm0878338,6
nm0749484,6
nm0002030,6
Frank Capra,6
nm0000783,6
Robert Zemeckis,6
Tim Burton,6
Richard Linklater,6
Tom Shadyac,6
Peter Farrelly,6
Bobby Farrelly,6
Ethan Coen,6
Steven Soderbergh | nm0001752,6
nm0451891,6
Peter Sullivan | nm0838289,6
nm0001124,5
nm0176699,5
nm0782682,5
nm0337586,5
nm0920074,5
nm0503777,5
nm0500552,5
nm0279807,5
nm0207029,5
Mike Nichols,5
nm0733790,5
nm0502391,5
nm0722799,5
Rob Reiner,5
Chris Columbus,5
Barry Sonnenfeld,5
Donald Petrie,5
David Fincher,5
Andy Tennant,5
James Wan | nm1490123,5
Mike Rohl | nm0737517,5
nm0195496,4
nm0341486,4
nm0002031,4
nm0128715,4
Howard Hawks,4
nm0758508,4
John Huston,4
nm0834744,4
nm0718243,4
nm0225935,4
nm0459567,4
nm0292720,4
nm0901138,4
nm0387354,4
nm0219959,4
Woody Allen,4
nm0005033,4
Peter Hyams | nm0001382,4
Steven Spielberg,4
Amy Heckerling,4
John Hughes,4
Walter Hill | nm0001353,4
Joel Schumacher,4
Rob Reiner | nm0001661,4
Tony Scott | nm0001716,4
Nora Ephron,4
Michael Lehmann,4
Jan de Bont,4
Kevin Smith,4
Joel Coen,4
Eric Darnell,4
Antoine Fuqua | nm0298807,4
nm0045623,4
nm0764741,4
Peyton Reed,4
Nancy Meyers,4
Christopher Nolan | nm0634240,4
Shawn Levy,4
Mark Waters,4
Shawn Levy | nm0506613,4
Michael M. Scott | nm1212040,4
Chad Stahelski | nm0821432,4
Jaume Collet-Serra | nm1429471,4
nm0006276,3
nm0909825,3
