const,nconst,actor,gender,ordering
tt0003565,nm0432721,Hans Junkermann,2.0,1
tt0003565,nm0504373,Madge Lessing,1.0,2
tt0003565,nm0670271,Heinrich Peer,2.0,3
tt0003565,nm0618054,Anna Müller-Lincke,1.0,4
tt0003565,nm0830724,Hans Stock,2.0,5
tt0003565,nm0491134,Max Laurence,2.0,6
tt0003565,nm0106898,Axel Breidahl,0.0,7
tt0004457,nm0534030,Violet MacMillan,1.0,1
tt0004457,nm0601212,Frank Moore,2.0,2
tt0004457,nm0751401,Raymond Russell,2.0,3
tt0004457,nm0237071,Leontine Dranet,0.0,4
tt0004457,nm0332320,Bobbie Gould,2.0,5
tt0004457,nm0915602,Marie Wayne,1.0,6
tt0004457,nm0744514,Richard Rosson,2.0,7
tt0004457,nm0109921,Frank Bristol,0.0,8
tt0004457,nm0940927,Fred Woodward,2.0,9
tt0004457,nm0940927,Fred Woodward,2.0,10
tt0004457,nm0940927,Fred Woodward,2.0,11
tt0004457,nm0942874,Todd Wright,2.0,12
tt0004707,nm0000122,Charles Chaplin,,1
tt0004707,nm0237597,Marie Dressler,1.0,2
tt0004707,nm0635667,Mabel Normand,1.0,3
tt0004707,nm0841501,Mack Swain,2.0,4
tt0004707,nm0071658,Charles Bennett,2.0,5
tt0004707,nm0071658,Charles Bennett,2.0,6
tt0004707,nm0174682,Chester Conklin,2.0,7
tt0004707,nm0174682,Chester Conklin,2.0,8
tt0004707,nm0016744,Dan Albert,2.0,9
tt0004707,nm0016744,Dan Albert,2.0,10
tt0004707,nm0020914,Phyllis Allen,1.0,11
tt0004707,nm0020914,Phyllis Allen,1.0,12
tt0004707,nm0020914,Phyllis Allen,1.0,13
tt0004707,nm0071616,Billie Bennett,1.0,14
tt0004707,nm0071616,Billie Bennett,1.0,15
tt0004707,nm0096094,Joe Bordeaux,,16
tt0004825,nm0553184,Vivian Martin,1.0,1
tt0004825,nm0290066,Alec B. Francis,2.0,2
tt0004825,nm0055865,Chester Barnett,2.0,3
tt0004825,nm1303133,Gyp Williams,0.0,4
