const,actor,character,gender,source_col
tt0003565,100052,,,tmdb_actor_ids
tt0003565,1327428,,,tmdb_actor_ids
tt0003565,1332694,,,tmdb_actor_ids
tt0003565,1381789,,,tmdb_actor_ids
tt0003565,1472021,,,tmdb_actor_ids
tt0003565,1472155,,,tmdb_actor_ids
tt0003565,47305,,,tmdb_actor_ids
tt0003565,Alter Graf,,,imdb_cast_characters
tt0003565,Anna Müller,,,tmdb_actors
tt0003565,Anna Müller-Lincke,Resolute Dame,1.0,tmdb_cast
tt0003565,Anton,,,imdb_cast_characters
tt0003565,Axel Breidahl,,,tmdb_actors
tt0003565,Graf Edgar,,,imdb_cast_characters
tt0003565,Hans Junkermann,,,tmdb_actors
tt0003565,Hans Stock,,,tmdb_actors
tt0003565,Heinrich Peer,,,tmdb_actors
tt0003565,Jean Coletti,,,imdb_cast_characters
tt0003565,Lincke,,,tmdb_actors
tt0003565,Lolotte,,,imdb_cast_characters
tt0003565,Madge Lessing,,,tmdb_actors
tt0003565,Max Laurence,,,tmdb_actors
tt0003565,Resolute Dame,,,imdb_cast_characters
tt0003565,nm0106898,,,imdb_cast_ids
tt0003565,nm0432721,,,imdb_cast_ids
tt0003565,nm0491134,,,imdb_cast_ids
tt0003565,nm0504373,,,imdb_cast_ids
tt0003565,nm0618054,,,imdb_cast_ids
tt0003565,nm0670271,,,imdb_cast_ids
tt0003565,nm0830724,,,imdb_cast_ids
tt0004457,148063,,,tmdb_actor_ids
tt0004457,14960,,,tmdb_actor_ids
tt0004457,226631,,,tmdb_actor_ids
tt0004457,2766511,,,tmdb_actor_ids
tt0004457,323045,,,tmdb_actor_ids
tt0004457,33223,,,tmdb_actor_ids
tt0004457,361947,,,tmdb_actor_ids
tt0004457,398657,,,tmdb_actor_ids
tt0004457,398850,,,tmdb_actor_ids
tt0004457,574046,,,tmdb_actor_ids
tt0004457,574047,,,tmdb_actor_ids
tt0004457,574048,,,tmdb_actor_ids
tt0004457,574049,,,tmdb_actor_ids
tt0004457,574050,,,tmdb_actor_ids
tt0004457,574059,,,tmdb_actor_ids
tt0004457,A Mystery,,,imdb_cast_characters
tt0004457,Bert Glennon,,,tmdb_actors
tt0004457,Bobbie Gould,,,tmdb_actors
tt0004457,Danx,,,imdb_cast_characters
tt0004457,Dave Anderson,,,tmdb_actors
tt0004457,Dr. Pipt,,,imdb_cast_characters
tt0004457,Frank Bristol,,,tmdb_actors
tt0004457,Frank Moore,,,tmdb_actors
tt0004457,Fred Woodward,,,tmdb_actors
tt0004457,Hal Roach,,,tmdb_actors
tt0004457,Jesseva,,,imdb_cast_characters
tt0004457,Jessie May Walsh,,,tmdb_actors
tt0004457,Jinjur,,,imdb_cast_characters
tt0004457,Juanita Hansen,Bell Ringer,1.0,tmdb_cast
tt0004457,Leontine Dranet,,,tmdb_actors
tt0004457,Lon Musgrave,,,tmdb_actors
tt0004457,Margolotte,,,imdb_cast_characters
tt0004457,Marie Wayne,,,tmdb_actors
tt0004457,Mewel,,,imdb_cast_characters
tt0004457,Mildred Harris,Dorothy,1.0,tmdb_cast
tt0004457,Ojo,,,imdb_cast_characters
tt0004457,Ojo\'s Guardian,,,imdb_cast_characters
tt0004457,Pierre Couderc,Scraps,2.0,tmdb_cast
tt0004457,Raymond Russell,,,tmdb_actors
tt0004457,Richard Rosson,,,tmdb_actors
tt0004457,The Soldier with the Green Whiskers (Omby Amby,,,imdb_cast_characters
tt0004457,The Wizard of Oz,,,imdb_cast_characters
tt0004457,The Woozy,,,imdb_cast_characters
tt0004457,The Zoop,,,imdb_cast_characters
tt0004457,Todd Wright,,,tmdb_actors
tt0004457,Unc Nunkie,,,imdb_cast_characters
tt0004457,Violet MacMillan,,,tmdb_actors
tt0004457,Vivian Reed,Leader,1.0,tmdb_cast
tt0004457,William Cook,Royal Chamberlain,2.0,tmdb_cast
tt0004457,a Maid in the Emerald City,,,imdb_cast_characters
tt0004457,a Munchkin Boy,,,imdb_cast_characters
tt0004457,a Noble Munchkin,,,imdb_cast_characters
tt0004457,a Quaintness,,,imdb_cast_characters
tt0004457,betrothed to Danx,,,imdb_cast_characters
tt0004457,his daughter,,,imdb_cast_characters
tt0004457,his wife,,,imdb_cast_characters
tt0004457,nm0109921,,,imdb_cast_ids
tt0004457,nm0237071,,,imdb_cast_ids
tt0004457,nm0332320,,,imdb_cast_ids
tt0004457,nm0534030,,,imdb_cast_ids
tt0004457,nm0601212,,,imdb_cast_ids
tt0004457,nm0744514,,,imdb_cast_ids
tt0004457,nm0751401,,,imdb_cast_ids
tt0004457,nm0915602,,,imdb_cast_ids
tt0004457,nm0940927,,,imdb_cast_ids
tt0004457,nm0942874,,,imdb_cast_ids
tt0004457,the Crooked Magician,,,imdb_cast_characters
tt0004457,who is Everybody\'s Friend,,,imdb_cast_characters
tt0004457,who makes the Patchwork Girl,,,imdb_cast_characters
tt0004707,108627,,,tmdb_actor_ids
tt0004707,1373133,,,tmdb_actor_ids
tt0004707,13848,,,tmdb_actor_ids
tt0004707,13856,,,tmdb_actor_ids
tt0004707,14435,,,tmdb_actor_ids
tt0004707,147991,,,tmdb_actor_ids
tt0004707,148006,,,tmdb_actor_ids
tt0004707,1st Restaurant Proprietor,,,imdb_cast_characters
tt0004707,2016,,,tmdb_actor_ids
tt0004707,30018,,,tmdb_actor_ids
tt0004707,30195,,,tmdb_actor_ids
tt0004707,89522,,,tmdb_actor_ids
tt0004707,89563,,,tmdb_actor_ids
tt0004707,89600,,,tmdb_actor_ids
tt0004707,89609,,,tmdb_actor_ids
tt0004707,89610,,,tmdb_actor_ids
tt0004707,Al St. John,,,tmdb_actors
tt0004707,Alice Davenport,,,tmdb_actors
tt0004707,Billie Bennett,Maid / Party Guest (uncredited),1.0,tmdb_cast
tt0004707,Charles Bennett,,,tmdb_actors
tt0004707,Charley Chase,,,tmdb_actors
tt0004707,Charlie Chaplin,,,tmdb_actors
tt0004707,Chester Conklin,,,tmdb_actors
tt0004707,Cop,,,imdb_cast_characters
tt0004707,Dan Albert,,,tmdb_actors
tt0004707,Dixie Chene,Party Guest (uncredited),1.0,tmdb_cast
tt0004707,Douglas Banks,,,imdb_cast_characters
tt0004707,Edgar Kennedy,,,tmdb_actors
tt0004707,Glen Cavender,First Pianist in Restaurant / Cop / Guest in First Restaurant / Uncle's Rescuer / Society Guest (uncredited),2.0,tmdb_cast
tt0004707,Guest,,,imdb_cast_characters
tt0004707,Hank Mann,,,tmdb_actors
tt0004707,Helen Carruthers,Maid / Waitress (uncredited),1.0,tmdb_cast
tt0004707,Mabel,,,imdb_cast_characters
tt0004707,Mabel Normand,,,tmdb_actors
tt0004707,Mack Swain,,,tmdb_actors
tt0004707,Maid,,,imdb_cast_characters
tt0004707,Marie Dressler,,,tmdb_actors
tt0004707,Minta Durfee,,,tmdb_actors
tt0004707,Mr. Whoozis,,,imdb_cast_characters
tt0004707,Nick Cogley,Police Chief (uncredited),2.0,tmdb_cast
tt0004707,Party Guest,,,imdb_cast_characters
tt0004707,Phyllis Allen,,,tmdb_actors
tt0004707,Policeman,,,imdb_cast_characters
tt0004707,Prison Matron,,,imdb_cast_characters
tt0004707,Restaurant Patron,,,imdb_cast_characters
tt0004707,Singing Waiter,,,imdb_cast_characters
tt0004707,Slim Summerville,,,tmdb_actors
tt0004707,The City Slicker,,,imdb_cast_characters
tt0004707,Tillie,,,imdb_cast_characters
tt0004707,Tillie\'s Father,,,imdb_cast_characters
tt0004707,Tillie\'s Millionaire Uncle,,,imdb_cast_characters
tt0004707,nm0000122,,,imdb_cast_ids
tt0004707,nm0016744,,,imdb_cast_ids
tt0004707,nm0020914,,,imdb_cast_ids
tt0004707,nm0071616,,,imdb_cast_ids
tt0004707,nm0071658,,,imdb_cast_ids
tt0004707,nm0096094,,,imdb_cast_ids
tt0004707,nm0174682,,,imdb_cast_ids
tt0004707,nm0237597,,,imdb_cast_ids
tt0004707,nm0635667,,,imdb_cast_ids
