director,actor,co_credits
Alfred Hitchcock,Alfred Hitchcock,18
Garry Marshall,Héctor Elizondo,10
Chia-Liang Liu,240171,9
Chia-Liang Liu,Gordon Liu Chia,9
Chia-Liang Liu,Gordon Liu Chia-Hui,9
Chia-Liang Liu,Hui,9
Garry Marshall,1210,9
Charles Chaplin,13848,7
Charles Chaplin,Charlie Chaplin,7
Charles Chaplin,nm0000122,7
Alfred Hitchcock,2636,7
Roger Corman,1905,7
Roger Corman,Vincent Price,7
Roger Corman,nm0001637,7
Chia-Liang Liu,Lau Kar,7
Chia-Liang Liu,nm0514904,7
Garry Marshall,nm0001185,7
Cheh Chang,240174,6
Cheh Chang,Johnny Wang Lung,6
Cheh Chang,Johnny Wang Lung-Wei,6
Cheh Chang,Wei,6
Chia-Liang Liu,26775,6
Chia-Liang Liu,Lau Kar-Leung,6
Chia-Liang Liu,Leung,6
Chia-Liang Liu,Hsiao Ho,6
Chia-Liang Liu,Wong Ching-Ho,6
Charles Chaplin,14438,5
Charles Chaplin,Henry Bergman,5
Alfred Hitchcock,2642,5
Alfred Hitchcock,Leo G. Carroll,5
